PID,Name,Title,PublicationType,ContentType,Language,Journal,JournalISSN,JournalEISSN,Status,Volume,Issue,HostPublication,StartPage,EndPage,Year,Edition,Pages,City,Publisher,Series,SeriesISSN,SeriesEISSN,ISBN,Urls,ISRN,DOI,ISI,PMID,ScopusId,NBN,LocalId,ArchiveNumber,Keywords,Categories,ResearchSubjects,Projects,Notes,Abstract,Opponents,Supervisors,Examiners,Patent,ThesisLevel,Credits,Programme,Subject,Uppsok,DefencePlace,DefenceLanguage,DefenceDate,CreatedDate,PublicationDate,LastUpdated
"601599","A Ekström, Annelie (Linnéuniversitetet [4853], Fakultetsnämnden för hälsa, socialt arbete och beteendevetenskap [5450], Institutionen för pedagogik, psykologi och idrottsvetenskap, PPI [5456])","Att arbeta integrerat med asylbarn i allmän förskola : En kvalitativ studie baserad på lärarintervjuer","Studentuppsats (Examensarbete)","","swe","","","","","","","","","","2013","","31","","","","","","","","","","","","","urn:nbn:se:lnu:diva-23874","","","Second language;preschool;children;parent.;Förskola;flerspråkiga;andraspråk;asyl;föräldrar;kommunikation;interkulturell pedagogik","Humaniora (6)","","","","<p>Syftet med föreliggande studie var att vinna kunskap om och ge en bild av hur sex pedagoger inom förskolan upplever att det är att arbeta integrerat med asylbarn i den allmänna förskolan och att ge en bild av vad pedagogerna berättar om hur detta arbete organiseras.  För att få svar på studiens frågor har en kvalitativ forskningsintervju använts. Två forskningsfrågor skapades från vilka intervjufrågorna huvudsakligen formades. Forskningsfrågorna var: Vilka förutsättningar för arbetet med asylbarn ger pedagogerna uttryck för och på vilket sätt organiseras den allmänna förskolan för asylbarn. Som analysredskap i studien har den sociokulturella och den interkulturella teorin använts. Studiens resultat visar att integreringen av asylbarn i den allmänna förskolan innebär att pedagogerna har att förhålla sig till att arbeta med asylbarn och deras föräldrar utan att dela språk eller känna till mycket om deras bakgrund. De måste också arbeta i en barngrupp som kan vara extra rörlig och instabil till storlek och dagsform. Resultatet visar också att den goda intention som det är att asylbarnen ska få komma varje dag till den allmänna förskolan gör att tiden på förskolan blir för kort för att pedagogerna ska kunna arbeta mer planerat med asylbarnens språk och egna kultur.</p>","","Grbavac, Dragana, Universitetsadjunkt (Linnéuniversitetet [4853], Fakultetsnämnden för hälsa, socialt arbete och beteendevetenskap [5450], Institutionen för pedagogik, psykologi och idrottsvetenskap, PPI [5456])","Folkesson, Ann-Marie, Lektor (Linnéuniversitetet [4853], Fakultetsnämnden för hälsa, socialt arbete och beteendevetenskap [5450], Institutionen för pedagogik, psykologi och idrottsvetenskap, PPI [5456])","","Självständigt arbete på grundnivå (yrkesexamen)","10 poäng / 15 hp","Lärarprogrammet, inriktning mot verksamhet i förskola/förskoleklass, 210/240/270/300/330 hp Lärarprogrammet, inriktning mot verksamhet i förskola/förskoleklass","Educational Science Utbildningsvetenskap","humaniora/teologi Humanities, Theology","","-1","","2013-01-29","2013-01-31","2013-01-31"
"308969","Aaboe, L;Lindelöf, Peter [flipe] (Högskolan i Kalmar [74], Handelshögskolan BBS [76]);Löfsten, H","Incubator performance : An efficiency frontier analysis","Artikel i tidskrift","Refereegranskat","eng","International Journal of Business Innovation and Research","1751-0252","1751-0260","published","2","4","","354","380","2008","","","","","","","","","","","10.1504/IJBIR.2008.018585","","","","urn:nbn:se:lnu:diva-1921","","","","Ekonomi och näringsliv (502)","Economy,Business administration","","","<p>Assessments and evaluations of incubators has been a topic of discussion for as long as incubators have been in existence due to the fact that there has not been an agreement on how to determine good performance. This paper demonstrates the use of Data Envelopment Analysis (DEA) when studying performance of incubators. More specifically, it does so within the four dimensions of cooperation with universities, business networks, external funding and competence development on a sample of 16 Swedish incubators. We show that DEA enables us to measure non-numerical dimensions, and to simultaneously take into account the efforts made by both the incubator and the outcomes. Moreover, DEA provides benchmarks and, based on a model that divides the incubators into four different groups, illustrates the difference between the benchmark and the incubators' current situation.</p>","","","","","","","","","","","","","2010-04-06","2010-04-06","2017-12-12"
"308968","Aaboen, L;Lindelöf, Peter [flipe] (Högskolan i Kalmar [74], Handelshögskolan BBS [76]);Löfsten, H","Critical dimensions for technology transfer Incubator-facilitated links between finance, academia and NTBFs","Artikel i tidskrift","Refereegranskat","eng","International Journal of Management and Enterprise Development","1468-4330","1741-8127","published","5","3","","331","335","2008","","","","","","","","","","","10.1504/IJMED.2008.017435","","","","urn:nbn:se:lnu:diva-1920","","","","Företagsekonomi (50202)","Economy,Business administration","","","<p>This paper explores incubator facilitation of technology transfer for their New Technology-Based Firms (NTBFs). Empirical evidence gathered from six interviews with incubator managers, together with a survey of 131 NTBFs in incubators in Sweden, in 2005, and the findings made in a survey of 273 NTBFs situated inside-and-outside Science Parks in 1999, are used for the exploration. It is suggested that incubators do facilitate technology transfer for their NTBFs. It is further suggested that the development towards increased ability to facilitate technology transfer will continue as a results of the efforts made on the incubator and systemic level.</p>","","","","","","","","","","","","","2010-04-06","2010-04-06","2017-12-12"
"687741","Aaboen, Lise (Chalmers tekniska högskola);Lindelöf, Peter (The University of Nottingham);von Koch, Christopher [cvkehv] (School of Economics and Commercial Law, Department of Business Administration, Göteborg);Löfsten, Hans (Chalmers universitet)","Corporate governance and performance of small high-tech firms in Sweden","Artikel i tidskrift","Refereegranskat","eng","Technovation","0166-4972","1879-2383","published","26","8","","955","968","2006","","","","","","","","","","","10.1016/j.technovation.2005.07.004","","","","urn:nbn:se:lnu:diva-31459","","","","Företagsekonomi (50202)","","","","<p>The approach uses data from a sample of 183 small high-tech firms, <em>new technology-based firms</em> (<em>small high-tech firms</em>) in Sweden (54 variables under the headings of work experience, board and advice, financing, motivation—performance priorities, technological innovation and strategy). This study identifies some core areas of importance in corporate governance. Few managers in this study had a strong background and experience of finance and the preparation of business. Only 64 per cent of the managers have had previous work experience before starting the firm. The survey makes it clear that the small high-tech firms are likely to have a strong link with banking institutions. The consequence of these links is that most of the firm's capital supply is from banks, and that there are strong ownership links between banks and industry. The background of the founder does seem to have had an effect on the problem of financing and ownership issues. It is private sector organizations (banks) and families that are most frequently consulted by small high-tech firms (However, low means). It is also the private and public sector organizations, in connection with external board membership, regional development agencies and banks that are most frequently consulted. In the future, it is reasonable to search for <em>factor patterns</em> that can begin to explain and predict the direction of corporate governance in small new technology-based firms.</p>","","","","","","","","","","","","","2014-01-15","2014-01-15","2020-07-14"
"1039319","Aaby, Jacqueline (Linnéuniversitetet [4853], Fakulteten för konst och humaniora (FKH) [12352], Institutionen för språk (SPR) [12369])","¿La motivación es importante, o no…? : <em>Una investigación sobre la motivación en los pasos 1 y 3 de ELE del instituto sueco </em>","Studentuppsats (Examensarbete)","","spa","","","","","","","","","","2016","","49","","","","","","","","","","","","","urn:nbn:se:lnu:diva-57568","","","ELE;motivación intrínseca;motivación extrínseca;lengua extranjera;aprendizaje de lenguas","Humaniora (6)","","","","","","Löfqvist Beglert, Eva, Professor (Linnéuniversitetet [4853], Fakulteten för konst och humaniora (FKH) [12352], Institutionen för språk (SPR) [12369])","Ángel Sarmiento, Miguel, Universitetslektor (Linnéuniversitetet [4853], Fakulteten för konst och humaniora (FKH) [12352], Institutionen för språk (SPR) [12369])","","Självständigt arbete på grundnivå (yrkesexamen)","10 poäng / 15 hp","Lärarprogrammet, inriktning mot verksamhet i grundskolans senare år och gymnasiet Lärarprogrammet, inriktning mot verksamhet i grundskolans senare år och gymnasiet, 210/240/270/300/330 hp","Spanish Spanska","","","","","2016-10-23","2016-10-24","2016-10-24"
"651227","Aaby, Jacqueline (Linnéuniversitetet [4853], Fakulteten för samhällsvetenskap (FSV) [12353], Institutionen för idrottsvetenskap (ID) [12371]);Ekblom, Jakob (Linnéuniversitetet [4853], Fakulteten för samhällsvetenskap (FSV) [12353], Institutionen för idrottsvetenskap (ID) [12371])","Hur blev det med hälsan? : En kvalitativ studie om elevers syn på hälsa i ämnet Idrott och hälsa i årskurs nio.","Studentuppsats (Examensarbete)","","swe","","","","","","","","","","2013","","45","","","","","","","","","","","","","urn:nbn:se:lnu:diva-29023","","","","Idrottsvetenskap (30308)","","","","<p>Syftet med denna studie är att undersöka vilken uppfattning elever i årskurs nio har om hälsa. Ämnet Idrott och hälsa bedrivs på olika sätt och syftet med studien är även att få en klarare bild över hur eleverna upplever att de arbetar med hälsa i undervisningen. Genom intervjuer vill vi höra elevernas tankar och erfarenheter om hälsa och vad de skulle vilja lära sig mer om. Vi vill även veta vad de tycker är viktigt för att kunna påverka sin framtida hälsa.</p>","","Hafsteinsson Östenberg, Anna, l (Linnéuniversitetet [4853], Fakultetsnämnden för hälsa, socialt arbete och beteendevetenskap [5450], Institutionen för pedagogik, psykologi och idrottsvetenskap, PPI [5456])","Nilsson, Leif, L (Linnéuniversitetet [4853], Fakultetsnämnden för hälsa, socialt arbete och beteendevetenskap [5450], Institutionen för pedagogik, psykologi och idrottsvetenskap, PPI [5456])","","Självständigt arbete på grundnivå (kandidatexamen)","10 poäng / 15 hp","Lärarprogrammet, inriktning mot verksamhet i grundskolans senare år och gymnasiet Lärarprogrammet, inriktning mot verksamhet i grundskolans senare år och gymnasiet, 210/240/270/300/330 hp","Idrott Physical Education","","","-1","","2013-09-24","2013-10-03","2013-10-03"
"909963","Aaby, Jacqueline (Linnéuniversitetet [4853], Fakulteten för samhällsvetenskap (FSV) [12353], Institutionen för idrottsvetenskap (ID) [12371]);Olsson, Andreas (Linnéuniversitetet [4853], Fakulteten för samhällsvetenskap (FSV) [12353], Institutionen för idrottsvetenskap (ID) [12371])","Ett deltagande, för vem? : En kvalitativ intervjustudie om gymnasieelevers deltagande i Idrott och hälsa 1","Studentuppsats (Examensarbete)","","swe","","","","","","","","","","2016","","66","","","","","","","","","","","","","urn:nbn:se:lnu:diva-50312","","","","Utbildningsvetenskap (503);Pedagogik (50301)","","","","<p>The aim of this study was to investigate, at first, why students in upper secondary school in Sweden participate or not in Physical education and health (PEH) and also find out what changes the subject need that can affect their participation. To get answers out of the in-vestigation, we formulated questions about what preconceptions the students of an specific group have about participation and non-participation in PEH and what changes the subject need, according to the students, to become a subject for all students. The study was based on a qualitative method, by using interviews of ten students from Swedish upper secondary school. The students were from two schools in a mediumsized region and from different programmes.</p><p>The results of the study shows clearly that the content and the grades in PEH affects the student’s participation, which was crucial to whether they felt they wanted to participate actively in the lessons or not. The grades were considered as important and affected the participation even though some of the students were not interested in the content, but they still did the things that the teacher demanded. Despite this, the attitudes towards the subject were positive among the interviewed students. The factors the students think can change the participation to more actively is implement more activities as dance, individual training but also, delimit ballsports. It seems like the interviewed students are searching for meaningfulness in the lessons of the subject with a link between the curriculum and grading criteria.</p>","","Schenker, Katarina","Gerdin, Göran","","Självständigt arbete på avancerad nivå (magisterexamen)","10 poäng / 15 hp","Lärarprogrammet, inriktning mot verksamhet i grundskolans senare år och gymnasiet Lärarprogrammet, inriktning mot verksamhet i grundskolans senare år och gymnasiet, 210/240/270/300/330 hp","Idrott Physical Education","","","","","2016-03-07","2016-03-10","2016-03-10"
"1244426","Aaby, Susanne (Linnéuniversitetet [4853], Fakulteten för teknik (FTK) [12354], Institutionen för skog och träteknik (SOT) [12386]) (1991);Carlsson, Henric (Linnéuniversitetet [4853], Fakulteten för teknik (FTK) [12354], Institutionen för skog och träteknik (SOT) [12386])","Effektivisering av timmerplan på Kinnaredsågen (Streamling of timber logistics on Kinnared sawmill)","Studentuppsats (Examensarbete)","","swe","","","","","","","","","","2018","","41","","","","","","","","","","","","","urn:nbn:se:lnu:diva-77438","","","sågverk;timmerplan;stopptidsanalys;fjärrmätning;SDC arkiv","Skogsvetenskap (40104)","","","","<p>Sågverken i Sverige letar kontinuerligt efter lösningar för att kunna effektivisera produktionen. I denna studie analyseras specifikt Derome Kinnareds sågens timmerplan. Genom en stopptidsanalys, undersökningar av nya tekniska lösningar, muntliga kommunikationer med personal samt arbetsledare och andra företag införskaffades underlag till analys. Åtgärder som kan utföras för att minimera produktionskostnaderna eller öka produktionen på timmerplan är att implementera ny teknik t.ex. fjärrmätning, digitalisera mätbesked med hjälp av SDC:s arkiv, omorganisera personalstyrkan samt införskaffa bemyndigad mätare. Förslagen indikerar att implementering av dem kan förbättra Kinnaredsågens ekonomi. Beroende på hur mycket företaget är villigt att investera kan det effektiviseras i olika grad. I samband med kommunikation med företagsrepresentanter kom man dock fram till att ny teknik kan vara bättre att implementera vid en nybyggnation.</p>","","Flinkman, Matti, Universitetslektor (Linnéuniversitetet [4853], Fakulteten för teknik (FTK) [12354], Institutionen för skog och träteknik (SOT) [12386]);Karlsson, Lars","Lindeberg, Johan, Universitetslektor (Linnéuniversitetet [4853], Fakulteten för teknik (FTK) [12354], Institutionen för skog och träteknik (SOT) [12386])","","Självständigt arbete på grundnivå (kandidatexamen)","10 poäng / 15 hp","Forest Production and Wood utilization Programme, 180 credits Skogs- och träprogrammet, 180 hp","","","","","","2018-08-31","2018-09-03","2018-09-03"
"1325549","Aakre, Nina (Linnéuniversitetet [4853], Fakulteten för Hälso- och livsvetenskap (FHL) [12351], Institutionen för hälso- och vårdvetenskap (HV) [12360])","Anestesisjuksköterskans uppfattningar av lärande till yrkesprofession : <em>-en fenomenografisk studie.</em>","Studentuppsats (Examensarbete)","","swe","","","","","","","","","","2019","","46","","","","","","","","","","","","","urn:nbn:se:lnu:diva-85428","","","Anestesisjuksköterska;Uppfattningar;Lärande;Yrkesprofession;Fenomenografi","Omvårdnad (30305)","","","","<p><strong>Bakgrund: </strong>Anestesisjuksköterskan arbetar i en komplex vårdmiljö med självständigt ansvar för patientens anestesi under operation och förväntas bedöma och hantera komplexa vårdsituationer. Lärande till yrkesprofession sker delvis under utbildningen till specialistsjuksköterska inom anestesi och delvis inom ramen för det yrkeskollektiv som anestesisjuksköterskan arbetar. För att uppnå kompetens som anestesisjuksköterska krävs vissa komponenter i lärandet till yrkesprofession.</p><p><strong>Syfte:</strong> Att beskriva anestesisjuksköterskors uppfattningar av lärandet till yrkesprofession.</p><p><strong>Metod:</strong> Studien har en kvalitativ design med fenomenografisk forskningsansats.  Anestesisjuksköterskor från en operationsavdelning i sydöstra Sverige har intervjuats kring temat lärande till yrkesprofession. Intervjumaterialet har analyserats enligt fenomenografisk metod.</p><p><strong>Resultat:</strong> Fyra beskrivningskategorier som handlade om lärande till yrkesprofession identifierades. <em>Att lära sig utföra anestesisjukvård</em>, <em>att lära sig tänka och agera som anestesisjuksköterska</em>, <em>att lära sig bemöta patienter</em> och <em>att lära sig samarbeta</em>.</p><p><strong>Slutsats: </strong>Resultatet visar att för att lära sig vårda en patient i en anestesikontext krävs vissa komponenter. Det är viktigt att vara medveten om dessa komponenter när studenter eller nyanställda skall lära sig yrkesprofessionen. Genom klinisk träning och teoretisk förankring kan anestesisjuksköterskan lära sig vårda komplexa sjukdomstillstånd där patientens säkerhet och integritet bibehålls.</p>","","Andersson, Sten-Ove, Lektor (Linnéuniversitetet [4853], Fakulteten för Hälso- och livsvetenskap (FHL) [12351], Institutionen för hälso- och vårdvetenskap (HV) [12360])","Årestedt, Kristoffer, Professor (Linnéuniversitetet [4853], Fakulteten för Hälso- och livsvetenskap (FHL) [12351], Institutionen för hälso- och vårdvetenskap (HV) [12360])","","Självständigt arbete på avancerad nivå (magisterexamen)","10 poäng / 15 hp","Vårdvetenskap, magisterprogram, 60 hp Caring Sciences Master Programme, 60 credits","Health care science Omvårdnad/ Omvårdnadsvetenskap","","","","","2019-06-16","2019-06-17","2019-06-17"
"1062","Aalto, Mervi Anneli (Högskolan i Kalmar [74], Naturvetenskapliga institutionen [79])","Vill kunder handla receptfria läkemedel i dagligvaruhandeln? : - En enkätundersökning","Studentuppsats","","eng","","","","","","","","","","2008","","37","","Naturvetenskapliga institutionen","","","","","","","","","","","urn:nbn:se:hik:diva-278","","","receptfria läkemedel","Farmaceutiska vetenskaper (30101)","","","","<p>Sammanfattning</p><p>I Sverige har det statliga apoteketsmonopolet ifrågasatts en längre tid och regeringen utreder nu möjligheten att konkurrensutsätta läkemedelsförsäljningen. Det har även föreslagits i den statliga utredningen (SOU 2008:4 del 2) att ett begränsat sortiment av OTC läkemedel (over the counter = receptfria läkemedel) ska få säljas i dagligvaruhandeln utan farmaceutiskt kompetenskrav. Vid korrekt användning och tillgång till rätt rådgivning kan OTC läkemedel vara till en stor hjälp för den enskilde individen vid egenvård och därigenom också bidra till avlastning på sjukvårdens resursers. Vid felanvändning av OTC läkemedel (över/underdosering, fel indikationsområde etc.), kan de istället få motsatt effekt. Syftet med denna enkätstudie var därför att utforska om konsumenter av OTC läkemedel i Sverige önskar få tillgång till dessa läkemedel i t ex livsmedelsbutiker, där de inte har tillgång till personlig farmaceutisk rådgivning, vidare var avsikten att undersöka hur de i dagligvaruhandeln önskade få läkemedelsinformation. I februari 2008 gjordes en enkätstudie i Västervik som inkluderade 48 deltagare varav 29 kvinnor och 19 män. Studien visade att 71 % av deltagarna hade en positiv inställning till att köpa OTC läkemedel i livsmedelsbutiker, 58 % skulle skaffa information genom läkemedelsförpackning och bipacksedel i kombination med att de tidigare använt läkemedlet. Önskan om tillgång till personlig rådgivning på inköpsstället var störst i åldern ≤ 35 år, där 38 % ansåg sig vilja det. Slutsats av studien är att majoriteten vill kunna handla OTC läkemedel i dagligvaruhandeln och information skulle de få främst från läkemedelsförpackning/bipacksedel i kombination med erfarenheter från tidigare användning.</p><p>2008:F5</p>","","Berg, Christer (Högskolan i Kalmar [74], Naturvetenskapliga institutionen [79])","Delbro, Dick (Högskolan i Kalmar [74], Naturvetenskapliga institutionen [79])","","Självständigt arbete på grundnivå (kandidatexamen)","10 poäng / 15 hp","","Farmaci Pharmacy","medicin medicin","","","","2008-05-16","2008-05-16","2018-01-13"
